562,305,850
474,210,495
803,720,977
183,897,764
624,392,935
687,500,161
960,319,146
319,461,205
878,909,178
935,122,756
877,159,996
932,424,908
951,920,275
129,104,132
295,964,802
839,938,716
854,860,443
828,800,447
159,629,808
251,614,508
561,682,806
955,950,645
884,264,335
301,895,434
258,173,187
325,181,609
266,152,782
669,615,162
502,178,227
789,523,149
446,543,243
940,193,597
737,973,928
716,906,856
562,554,569
557,112,305
967,361,665
625,644,691
826,463,397
763,615,407
959,923,378
400,169,317
671,473,674
775,472,617
543,464,389
720,943,969
304,705,645
132,823,847
145,671,484
707,391,545
345,821,962
260,940,829
727,332,315
846,387,471
884,990,623
314,698,521
993,815,108
766,960,483
507,777,728
663,935,142
227,599,360
308,794,101
240,569,342
544,197,666
876,682,833
311,316,800
642,294,213
323,578,675
394,671,766
218,230,292
522,645,705
832,199,505
652,630,390
396,848,596
172,315,821
638,786,234
666,557,318
709,446,783
581,284,611
316,253,868
916,886,104
835,305,513
701,787,535
104,475,155
614,590,210
139,942,213
882,401,423
769,960,210
780,455,412
362,642,552
263,439,458
442,374,993
360,278,212
784,582,861
953,975,917
173,905,654
422,723,592
270,213,121
710,842,173
395,874,201
681,857,605
231,399,497
271,370,185
717,123,606
695,787,376
970,953,109
499,661,188
824,216,120
518,174,757
647,841,390
738,596,634
875,459,742
709,145,919
113,336,664
333,520,248
357,435,582
399,471,978
224,673,765
272,665,481
411,852,595
672,916,673
514,691,749
552,347,108
792,330,113
633,635,635
363,947,229
502,757,716
144,723,229
408,140,807
305,933,808
876,500,419
804,654,296
358,681,870
738,756,471
322,672,379
149,368,993
500,904,681
357,532,764
170,253,144
989,511,901
692,713,167
691,392,178
930,124,900
237,753,406
477,833,884
837,941,697
257,866,460
338,705,107
329,490,427
226,855,671
596,872,190
549,485,740
212,791,598
121,267,427
